FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e3,Kara,Kozah,Kozah 1,Commune De Kara,Kara sud,EPP Kara Sud Ga,KARA SUD,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1963667066508932 9.536865625460116)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e2,Kara,Kozah,Kozah 1,Commune De Kara,Welade,EPP Welade,Kara Welade,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.185226510719453 9.55860511411537)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e1,Kara,Kozah,Kozah 1,Commune De Kara,Agode,EPP Lama Kolide Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1977006058891442 9.586768799398037)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48e0,Kara,Kozah,Kozah 1,Commune De Kara,Tchitchinida gb,EPP Tchitchinida Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2069253564942424 9.546376196469733)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48df,Kara,Kozah,Kozah 1,Commune De Kara,Tchaloude,EPP Tchaloude Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1991699999999998 9.56526592200928)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48de,Kara,Kozah,Kozah 1,Commune De Kara,Tomdè,EPP Tomde Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.2003555090965752 9.55166567057867)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48dd,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,EPP Chaminade Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1933520773834587 9.553836095882003)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48dc,Kara,Kozah,Kozah 1,Commune De Kara,Tchitchinida,EPP Tchitchinida Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.2068919186098153 9.547017363971653)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48db,Kara,Kozah,Kozah 1,Commune De Kara,Dongoyo,EPP Dongoyo Gc,S/C Inspection IEPP KOZAH CENTRE,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1772651036180926 9.543702864062336)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48da,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,EPP Tomde Gc,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2001002123412308 9.552629210636368)
