indicator_id,country_id,year,type,metadata
#indicator+code,#country+code,#date+year,#description+type,#description
CR.1.F,TGO,2013,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2014,Source:Data sources,Togo DHS 2013-14. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F,TGO,2015,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2016,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2017,Source:Data sources,Togo MICS 2017. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F,TGO,2018,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2019,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2020,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2021,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F,TGO,2022,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.F.LPIA,TGO,2006,Source:Data sources,Togo MICS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
CR.1.F.LPIA,TGO,2010,Source:Data sources,Togo MICS 2010. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F.LPIA,TGO,2014,Source:Data sources,Togo DHS 2013-14. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F.LPIA,TGO,2017,Source:Data sources,Togo MICS 2017. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F.WPIA,TGO,2006,Source:Data sources,Togo MICS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
CR.1.F.WPIA,TGO,2010,Source:Data sources,Togo MICS 2010. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F.WPIA,TGO,2014,Source:Data sources,Togo DHS 2013-14. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.F.WPIA,TGO,2017,Source:Data sources,Togo MICS 2017. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.GPIA,TGO,1990,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1991,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1992,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1993,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1994,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1995,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1996,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1997,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1998,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,1999,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2000,Source:Data sources,Togo MICS 2000 (GEMR).
CR.1.GPIA,TGO,2001,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2002,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2003,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2004,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2005,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2006,Source:Data sources,Togo MICS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
CR.1.GPIA,TGO,2007,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2008,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2009,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2010,Source:Data sources,Togo MICS 2010. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.GPIA,TGO,2011,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2012,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2013,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2014,Source:Data sources,Togo DHS 2013-14. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.GPIA,TGO,2015,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2016,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2017,Source:Data sources,Togo MICS 2017. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.GPIA,TGO,2018,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2019,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2020,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2021,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.GPIA,TGO,2022,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1.LPIA,TGO,2000,Source:Data sources,Togo MICS 2000 (GEMR).
CR.1.LPIA,TGO,2006,Source:Data sources,Togo MICS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
CR.1.LPIA,TGO,2010,Source:Data sources,Togo MICS 2010. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
CR.1.LPIA,TGO,2014,Source:Data sources,Togo DHS 2013-14. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
