"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Kara","Féminin","%","2022","67.5"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2014","52.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2015","62.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2016","70"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2017","52.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2018","33.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2019","75.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2020","67.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2021","74.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Total","%","2022","74"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2014","53.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2015","63.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2016","71.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2017","54.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2018","34.6"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2019","76.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2020","69.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2021","75.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Masculin","%","2022","74.9"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2014","50"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2015","58.7"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2016","65.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2017","43.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2018","29.3"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2019","72.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2020","59.1"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2021","72.4"
"Taux de réussite au BAC I par région et par sexe (%) (série D)","Savanes","Féminin","%","2022","71.5"
