"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2018","66.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2019","75.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2020","61"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Total","%","2022","85.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2014","71.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2015","49.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2016","75"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2017","62.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2018","67.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2019","76.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2020","63"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2021","89.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Masculin","%","2022","85.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2014","67.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2015","43.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2016","73.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2017","60.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2018","64.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2019","74.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2020","57.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2021","88.1"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Centrale","Féminin","%","2022","85.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2014","67.6"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Kara","Total","%","2015","64.6"
