FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2830,Plateaux,Akébou,Akébou 1,Kougnohou,Kougnohou,CPL Enfant Adolescent Epanoui,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine Prive de l'Etat,IESG Badou,Non,MEPSTA,POINT (0.7881573649856398 7.658916067708551)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-282f,Plateaux,Akébou,Akébou 1,Kougnohou,Kougnohou,Lycée Kougnohou,BP04,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,Domaine public de l'Etat,IESG Badou,Oui,MEPSTA,POINT (0.79348172583741 7.649343414674965)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-282e,Plateaux,Akébou,Akébou 1,Kougnohou,Dakan,CEG Dakan,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Badou,Non,MEPSTA,POINT (0.721783333333333 7.640495000000011)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-282d,Plateaux,Akébou,Akébou 1,Kougnohou,Kougnohou,CEG Ccspp De Kougnohou,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - entreprise,IESG Badou,Oui,MEPSTA,POINT (0.7916937089151092 7.6592661292145845)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-282c,Plateaux,Akébou,Akébou 1,Kougnohou,Lomenava,CPE De Kougnohou,BP 21KOUGNOHOU,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,Prive - individuel,IESG Badou,Oui,MEPSTA,POINT (0.791463333333334 7.654344999999997)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-282b,Plateaux,Akébou,Akébou 1,Gbendè,Brounfou,CEG Brounfou,Nsp,"{Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Badou,Oui,MEPSTA,POINT (0.6696575558912464 7.736433416864454)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-282a,Plateaux,Kloto,Kloto 1,Yokélé,Yokele,Lycée Yokele College,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,Domaine public de l'Etat,IESG Kpalimé,Non,MEPSTA,POINT (0.6584650309219102 6.932458839782201)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2829,Plateaux,Agou,Agou 2,Agotimé-Nord,Nyite- zukpe,CEG Nyitoe-zukpe,BP13 AGOU,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.6598710329960387 6.655685803142438)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2828,Plateaux,Akébou,Akébou 1,Djon,Thafe hohoe,CEG Tsafe Hohoe,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - Collectivite coutumiere,IESG Badou,Non,MEPSTA,POINT (0.8267347008854237 7.736133273683678)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2827,Plateaux,Akébou,Akébou 1,Djon,Kotora,CEG il Kotora,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - individuel,IESG Badou,Non,MEPSTA,POINT (0.7864337348021645 7.735235469894834)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2826,Plateaux,Akébou,Akébou 1,Djon,Modjagni,CEG Modjagni,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Badou,Non,MEPSTA,POINT (0.6872419271022924 7.700892583134504)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2825,Plateaux,Akébou,Akébou 1,Djon,Djon,CEGIL Tchakpali,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine Prive de l'Etat,IESG Badou,Non,MEPSTA,POINT (0.756677650608538 7.711925450026851)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2824,Plateaux,Akébou,Akébou 1,Veh,Veh-samagni,CEG Veh-karakonkon,91622215,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,Domaine public de l'Etat,IESG Badou,Oui,MEPSTA,POINT (0.6920990890468289 7.680834133996818)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2823,Plateaux,Akébou,Akébou 1,Veh,Veh n'kougna,CEG Veh N'kougna,Néant,"{Vendredi,Jeudi,Mardi,Mercredi,Lundi}",College,Domaine public de l'Etat,IESG Badou,Non,MEPSTA,POINT (0.7383110622636844 7.671933814684524)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2822,Maritime,Golfe,Golfe 7,Aflao-Sagbado,N/a,CPL Le Cocotier II,N/a,N/a,College,N/a,IESG Golfe-Ouest,N/a,N/a,POINT (1.130264706839594 6.189183833511962)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2821,Plateaux,Akébou,Akébou 1,Yalla,Yalla,Lycée De Yalla College,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Badou,Non,MEPSTA,POINT (0.6710880694320533 7.787115658748388)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2820,Plateaux,Akébou,Akébou 2,Sérégbénè,Danyigan,CEG Danyigan,Néant,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Badou,Non,MEPSTA,POINT (0.7640672966400056 7.812381755043147)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-281f,Plateaux,Akébou,Akébou 2,Sérégbénè,Seregbene,Lycée Seregbene College,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Badou,Oui,MEPSTA,POINT (0.7355479190636999 7.870262335840168)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-281e,Plateaux,Akébou,Akébou 2,Kpalavé,Kabagni,CEG Kabagni,Nsp,"{Lundi,Mardi,Jeudi,Vendredi}",College,Prive - Collectivite coutumiere,IESG Badou,Non,MEPSTA,POINT (0.7769185890579928 7.888243058362957)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-281d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,N/a,CPL La Bruyere College,N/a,N/a,College,N/a,IESG Golfe-Ouest,N/a,N/a,POINT (1.1681446396612163 6.241510393761573)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-281c,Plateaux,Akébou,Akébou 2,Kpalavé,Wodagni,CEG Wodagni,90296783,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,Domaine public de l'Etat,IESG Badou,Oui,MEPSTA,POINT (0.8581485779956263 7.850986102481766)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-281b,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kegue,CS Le Nouveau Monde College,N/a,N/a,College,N/a,IESG Golfe-Est,N/a,N/a,POINT (1.235263060113647 6.207440871515038)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-281a,Maritime,Golfe,Golfe 3,Bè-Ouest,N/a,Collège Tokoin Solidarite,N/a,N/a,College,N/a,IESG Golfe-Ouest,N/a,N/a,POINT (1.2041479385130374 6.150554778736155)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2819,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,CEG Lakouda,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Prive - Collectivite coutumiere,IESG Badou,Non,MEPSTA,POINT (0.9791980934635701 7.969040033895113)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2818,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Lycée Kamina Akebou Collège,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Badou,Oui,MEPSTA,POINT (0.845843229394447 7.9216311501177925)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2817,Plateaux,Haho,Haho 2,Djemegni,Kpovegan,CEG Kpove,90908671,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Notsé,Oui,MEPSTA,POINT (1.295666801108828 6.953496735811864)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2816,Plateaux,Haho,Haho 2,Djemegni,Tsagba,CEG Tsagba,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Notsé,Non,MEPSTA,POINT (1.3527544278852808 6.99650955162409)
