"indicateur","subdivision","sexe","Unit","Date","Value"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Fémin","Pourcentage","2018","65.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LOME-COMMUNE","Fémin","Pourcentage","2019","68.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Total","Pourcentage","2014","48.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Total","Pourcentage","2015","45.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Total","Pourcentage","2016","55.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Total","Pourcentage","2017","49.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Total","Pourcentage","2018","69.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Total","Pourcentage","2019","63.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Masculin","Pourcentage","2014","47.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Masculin","Pourcentage","2015","47.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Masculin","Pourcentage","2016","57.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Masculin","Pourcentage","2017","49.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Masculin","Pourcentage","2018","68.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Masculin","Pourcentage","2019","63.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Fémin","Pourcentage","2014","50.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Fémin","Pourcentage","2015","41.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Fémin","Pourcentage","2016","49.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Fémin","Pourcentage","2017","50.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Fémin","Pourcentage","2018","69.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","GOLFE","Fémin","Pourcentage","2019","64.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Total","Pourcentage","2014","33.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Total","Pourcentage","2015","27.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Total","Pourcentage","2016","38.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Total","Pourcentage","2017","38.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Total","Pourcentage","2018","54.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Total","Pourcentage","2019","53.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Masculin","Pourcentage","2014","33.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Masculin","Pourcentage","2015","28.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Masculin","Pourcentage","2016","38.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Masculin","Pourcentage","2017","40.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Masculin","Pourcentage","2018","54.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Masculin","Pourcentage","2019","52.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Fémin","Pourcentage","2014","32.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Fémin","Pourcentage","2015","25.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Fémin","Pourcentage","2016","39.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Fémin","Pourcentage","2017","32"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Fémin","Pourcentage","2018","56.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","T.R.Maritime","Fémin","Pourcentage","2019","56.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Total","Pourcentage","2014","23.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Total","Pourcentage","2015","28.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Total","Pourcentage","2016","49.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Total","Pourcentage","2017","35.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Total","Pourcentage","2018","50.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Total","Pourcentage","2019","42.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Masculin","Pourcentage","2014","20"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Masculin","Pourcentage","2015","28.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Masculin","Pourcentage","2016","45.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Masculin","Pourcentage","2017","38"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Masculin","Pourcentage","2018","48.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Masculin","Pourcentage","2019","43.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Fémin","Pourcentage","2014","42.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Fémin","Pourcentage","2015","30.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Fémin","Pourcentage","2016","68.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Fémin","Pourcentage","2017","25.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Fémin","Pourcentage","2018","58.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","AVE","Fémin","Pourcentage","2019","38.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Total","Pourcentage","2014","33.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Total","Pourcentage","2015","31.8"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Total","Pourcentage","2016","40"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Total","Pourcentage","2017","38"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Total","Pourcentage","2018","49.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Total","Pourcentage","2019","51.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Masculin","Pourcentage","2014","32.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Masculin","Pourcentage","2015","33.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Masculin","Pourcentage","2016","39.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Masculin","Pourcentage","2017","41"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Masculin","Pourcentage","2018","50.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Masculin","Pourcentage","2019","52"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Fémin","Pourcentage","2014","50"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Fémin","Pourcentage","2015","20"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Fémin","Pourcentage","2016","42.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Fémin","Pourcentage","2017","23.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Fémin","Pourcentage","2018","44.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","BAS MONO","Fémin","Pourcentage","2019","48.4"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Total","Pourcentage","2014","27.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Total","Pourcentage","2015","23.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Total","Pourcentage","2016","34"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Total","Pourcentage","2017","39.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Total","Pourcentage","2018","54.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Total","Pourcentage","2019","60.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Masculin","Pourcentage","2014","26.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Masculin","Pourcentage","2015","21.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Masculin","Pourcentage","2016","35.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Masculin","Pourcentage","2017","42.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Masculin","Pourcentage","2018","52.5"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Masculin","Pourcentage","2019","60.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Fémin","Pourcentage","2014","30.1"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Fémin","Pourcentage","2015","30.3"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Fémin","Pourcentage","2016","30.2"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Fémin","Pourcentage","2017","31.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Fémin","Pourcentage","2018","58.6"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","LACS","Fémin","Pourcentage","2019","59.7"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","VO","Total","Pourcentage","2014","33.9"
"Taux de réussite au BAC_II selon le sexe et la région (série D)","VO","Total","Pourcentage","2015","25.8"
