indicator_id,country_id,year,value,magnitude,qualifier
AIR.2.GPV.GLAST,TGO,1982,20.73605918884277,,
AIR.2.GPV.GLAST,TGO,1983,16.77976989746094,,
AIR.2.GPV.GLAST,TGO,1984,12.39997959136963,,
AIR.2.GPV.GLAST,TGO,1985,11.19874000549316,,
AIR.2.GPV.GLAST,TGO,1986,10.81387996673584,,
AIR.2.GPV.GLAST,TGO,1987,10.88525009155273,,
AIR.2.GPV.GLAST,TGO,1988,10.02943992614746,,
AIR.2.GPV.GLAST,TGO,1989,11.25881004333496,,
AIR.2.GPV.GLAST,TGO,1990,12.64210033416748,,
AIR.2.GPV.GLAST,TGO,1991,12.18400001525879,,
AIR.2.GPV.GLAST,TGO,1992,13.07236003875732,,
AIR.2.GPV.GLAST,TGO,1994,12.15499973297119,,
AIR.2.GPV.GLAST,TGO,1995,15.55815029144287,,
AIR.2.GPV.GLAST,TGO,1996,15.63166046142578,,
AIR.2.GPV.GLAST,TGO,1999,20.46437072753906,,
AIR.2.GPV.GLAST,TGO,2000,22.29339027404785,,
AIR.2.GPV.GLAST,TGO,2001,26.13283920288086,,
AIR.2.GPV.GLAST,TGO,2002,29.2849292755127,,
AIR.2.GPV.GLAST,TGO,2003,31.51297950744629,,
AIR.2.GPV.GLAST,TGO,2004,34.1486701965332,,
AIR.2.GPV.GLAST,TGO,2005,38.18704986572266,,
AIR.2.GPV.GLAST,TGO,2006,38.19649124145508,,
AIR.2.GPV.GLAST,TGO,2007,32.11595153808594,,
AIR.2.GPV.GLAST,TGO,2008,33.68230819702148,,
AIR.2.GPV.GLAST,TGO,2010,33.74827776246899,,
AIR.2.GPV.GLAST,TGO,2011,37.83163923080055,,
AIR.2.GPV.GLAST,TGO,2013,37.76137359260373,,
AIR.2.GPV.GLAST,TGO,2014,36.55624674019514,,
AIR.2.GPV.GLAST,TGO,2015,39.56511273369173,,
AIR.2.GPV.GLAST,TGO,2016,41.46793503034957,,
AIR.2.GPV.GLAST,TGO,2017,45.60595116040638,,
AIR.2.GPV.GLAST,TGO,2018,47.22245857654192,,
AIR.2.GPV.GLAST,TGO,2019,49.74793360959071,,
AIR.2.GPV.GLAST,TGO,2020,52.00792853457873,,
AIR.2.GPV.GLAST,TGO,2021,56.67023862418651,,
AIR.2.GPV.GLAST,TGO,2022,61.7527576948989,,
AIR.2.GPV.GLAST,TGO,2023,56.68565085187509,,
AIR.2.GPV.GLAST,TGO,2024,56.62736842105262,,
AIR.2.GPV.GLAST.F,TGO,1974,2.795010089874268,,
